"","ag.artist_name","ag.artist_id","ag.album_type","ag.album_release_date","ag.album_release_year","ag.album_release_date_precision","ag.danceability","ag.energy","ag.energy.1","ag.key","ag.loudness","ag.mode","ag.speechiness","ag.acousticness","ag.instrumentalness","ag.liveness","ag.liveness.1","ag.valence","ag.tempo","ag.track_id","ag.duration_ms","ag.explicit","ag.is_local","ag.track_name","ag.track_number","ag.type","ag.album_name","ag.key_name","ag.mode_name","ag.key_mode"
"18","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2016-11-17",2016,"day",0.741,0.798,0.798,5,-5.342,0,0.0718,0.00781,0,0.0232,0.0232,0.939,104.953,"5XMkENs3GfeRza8MfVAhjK",191000,FALSE,FALSE,"Finesse",8,"track","24K Magic","F","minor","F minor"
"19","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2016-11-17",2016,"day",0.587,0.63,0.63,2,-6.054,1,0.0311,0.0389,0,0.35,0.35,0.433,76.97,"0B0tYbVp7pDQAqKDhgMeaL",281826,FALSE,FALSE,"Too Good to Say Goodbye",9,"track","24K Magic","D","major","D major"
"20","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.561,0.749,0.749,6,-4.951,0,0.032,0.461,1.82e-06,0.205,0.205,0.501,125.986,"3G5iN5QBqMeXx3uZPy8tgB",228720,FALSE,FALSE,"Young Girls",1,"track","Unorthodox Jukebox","F#","minor","F# minor"
"21","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.726,0.698,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.309,0.867,143.994,"3w3y8KPTfNeOKPiqUTakBh",233478,FALSE,FALSE,"Locked out of Heaven",2,"track","Unorthodox Jukebox","F","major","F major"
"22","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.717,0.544,0.544,7,-6.598,1,0.0371,0.445,5.16e-06,0.0973,0.0973,0.641,139.959,"2ih2U8ttFzCjnQ5njF3SrR",244493,TRUE,FALSE,"Gorilla",3,"track","Unorthodox Jukebox","G","major","G major"
"23","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.874,0.692,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.324,0.937,116.017,"55h7vJchibLdUkxdlX3fK7",178560,TRUE,FALSE,"Treasure",4,"track","Unorthodox Jukebox","F","minor","F minor"
"24","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.705,0.784,0.784,2,-4.351,1,0.0279,0.211,4.3e-06,0.0813,0.0813,0.418,104.98,"30raivfq7rSt5nKltiHfzG",228573,FALSE,FALSE,"Moonshine",5,"track","Unorthodox Jukebox","D","major","D major"
"25","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.612,0.28,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.088,0.387,72.795,"0nJW01T7XtvILxQgC5J7Wh",213826,FALSE,FALSE,"When I Was Your Man",6,"track","Unorthodox Jukebox","C","major","C major"
"26","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.76,0.733,0.733,7,-6.704,1,0.0504,0.15,0,0.0647,0.0647,0.611,111.975,"0inMKhbKWOTDA9UBUAKoU6",225026,FALSE,FALSE,"Natalie",7,"track","Unorthodox Jukebox","G","major","G major"
"27","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2012-12-07",2012,"day",0.743,0.706,0.706,5,-5.728,1,0.0535,0.0461,0,0.204,0.204,0.514,77.989,"2tCPIp83mRXvVTytTAf1W4",207560,FALSE,FALSE,"Show Me",8,"track","Unorthodox Jukebox","F","major","F major"
