date,occasion,top10_gross,top10_wow_change,num_releases,top_release,week_no,year,month_week,weekend
"Dec 28-Jan 1, 1985",New Year's long wknd,"$72,719,625",-,22,Beverly Hills Cop,52,1984,Dec_w4,1984_Dec_w4
Dec 28-30,,"$451,773",+55.7%,1,Ghostbusters,52,1984,Dec_w4,1984_Dec_w4
Dec 21-23,,"$290,196",-99.2%,1,Ghostbusters,51,1984,Dec_w3,1984_Dec_w3
Dec 21-25,Christmas long wknd,"$49,021,775",-,20,Beverly Hills Cop,51,1984,Dec_w3,1984_Dec_w3
Dec 14-16,,"$35,465,869",-0.4%,16,Beverly Hills Cop,50,1984,Dec_w2,1984_Dec_w2
Dec 7-9,,"$35,617,642",+84.4%,16,Beverly Hills Cop,49,1984,Dec_w1,1984_Dec_w1
Nov 30-Dec 2,Post-Thanksgiving,"$19,313,112",-37.1%,15,Missing in Action,48,1984,Nov_w4,1984_Nov_w4
Nov 23-25,Thanksgiving 3-Day,"$30,715,157",+17.9%,16,Supergirl,47,1984,Nov_w3,1984_Nov_w3
Nov 22-25,Thanksgiving 4-Day,"$1,132,403",-,1,Ghostbusters,47,1984,Nov_w3,1984_Nov_w3
Nov 21-25,Thanksgiving 5-Day,"$1,235,264",-,1,Ghostbusters,47,1984,Nov_w3,1984_Nov_w3
Nov 16-18,,"$26,050,538",+18.4%,16,Missing in Action,46,1984,Nov_w2,1984_Nov_w2
Nov 9-11,,"$21,996,915",+2.7%,16,"Oh, God! You Devil",45,1984,Nov_w1,1984_Nov_w1
Nov 2-4,,"$21,415,987",-8.9%,15,The Terminator,44,1984,Oct_w5,1984_Oct_w5
Oct 26-28,,"$23,518,309",+3.1%,15,The Terminator,43,1984,Oct_w4,1984_Oct_w4
Oct 19-21,,"$22,806,801",+5.1%,17,Teachers,42,1984,Oct_w3,1984_Oct_w3
Oct 12-14,,"$21,696,916",+968.9%,16,Teachers,41,1984,Oct_w2,1984_Oct_w2
Oct 5-7,,"$2,029,921",-91.7%,1,Ghostbusters,40,1984,Oct_w1,1984_Oct_w1
Oct 5-8,Indig. Peoples' Day wknd,"$29,850,702",-,16,Teachers,40,1984,Oct_w1,1984_Oct_w1
Sep 28-30,,"$24,455,746",-3.4%,18,All of Me,39,1984,Sep_w4,1984_Sep_w4
Sep 21-23,,"$25,311,934",+17.9%,18,All of Me,38,1984,Sep_w3,1984_Sep_w3
Sep 14-16,,"$21,466,596",-9.6%,14,Ghostbusters,37,1984,Sep_w2,1984_Sep_w2
Sep 7-9,,"$23,747,687",+374.5%,16,Tightrope,36,1984,Sep_w1,1984_Sep_w1
Aug 31-Sep 2,,"$5,004,808",-85%,1,Ghostbusters,35,1984,Aug_w5,1984_Aug_w5
Aug 31-Sep 3,Labor Day wknd,"$41,990,317",-,16,Tightrope,35,1984,Aug_w5,1984_Aug_w5
Aug 24-26,,"$33,468,316",-19.9%,14,Tightrope,34,1984,Aug_w4,1984_Aug_w4
Aug 17-19,,"$41,775,154",+10%,14,Tightrope,33,1984,Aug_w3,1984_Aug_w3
Aug 10-12,,"$37,984,188",+8.9%,16,Red Dawn,32,1984,Aug_w2,1984_Aug_w2
Aug 3-5,,"$34,878,491",-18.6%,17,Ghostbusters,31,1984,Aug_w1,1984_Aug_w1
Jul 27-29,,"$42,854,166",-5.5%,15,Purple Rain,30,1984,Jul_w4,1984_Jul_w4
Jul 20-22,,"$45,328,814",-2.4%,14,Ghostbusters,29,1984,Jul_w3,1984_Jul_w3
Jul 13-15,,"$46,428,540",-12%,14,Ghostbusters,28,1984,Jul_w2,1984_Jul_w2
Jul 6-8,,"$52,750,255",-11.3%,12,Ghostbusters,27,1984,Jul_w1,1984_Jul_w1
Jun 29-Jul 1,,"$59,500,706",+4.5%,12,Ghostbusters,26,1984,Jun_w5,1984_Jun_w5
Jun 22-24,,"$56,928,034",+3.2%,12,Ghostbusters,25,1984,Jun_w4,1984_Jun_w4
Jun 15-17,,"$55,171,328",-8.9%,13,Ghostbusters,24,1984,Jun_w3,1984_Jun_w3
Jun 8-10,,"$60,535,933",+20.6%,13,Ghostbusters,23,1984,Jun_w2,1984_Jun_w2
Jun 1-3,,"$50,208,004",+98.2%,13,Star Trek III: The Search for Spock,22,1984,Jun_w1,1984_Jun_w1
May 25-27,,"$25,337,110",-6.7%,1,Indiana Jones and the Temple of Doom,21,1984,May_w4,1984_May_w4
May 25-28,Memorial Day wknd,"$62,680,115",-,15,Indiana Jones and the Temple of Doom,21,1984,May_w4,1984_May_w4
May 18-20,,"$27,159,110",-8.1%,14,The Natural,20,1984,May_w3,1984_May_w3
May 11-13,,"$29,563,569",-4.1%,12,The Natural,19,1984,May_w2,1984_May_w2
May 4-6,,"$30,820,958",+13.2%,15,Breakin',18,1984,May_w1,1984_May_w1
Apr 27-29,,"$27,221,455",-26.7%,15,Police Academy,17,1984,Apr_w4,1984_Apr_w4
Apr 20-22,,"$37,141,105",-13.3%,15,Police Academy,16,1984,Apr_w3,1984_Apr_w3
Apr 20-23,Easter wknd,-,-,-,-,16,1984,Apr_w3,1984_Apr_w3
Apr 13-15,,"$42,836,109",+3.7%,14,Friday the 13th: The Final Chapter,15,1984,Apr_w2,1984_Apr_w2
Apr 6-8,,"$41,294,230",+12.2%,14,Police Academy,14,1984,Apr_w1,1984_Apr_w1
Mar 30-Apr 1,,"$36,811,278",+10.9%,13,Police Academy,13,1984,Mar_w5,1984_Mar_w5
Mar 23-25,,"$33,206,443",+10.8%,14,Police Academy,12,1984,Mar_w4,1984_Mar_w4
Mar 16-18,,"$29,973,675",+12.2%,13,Splash,11,1984,Mar_w3,1984_Mar_w3
Mar 9-11,,"$26,724,810",+10.3%,15,Splash,10,1984,Mar_w2,1984_Mar_w2
Mar 2-4,,"$24,232,435",-0.4%,17,Footloose,9,1984,Mar_w1,1984_Mar_w1
Feb 24-26,,"$24,319,996",-,13,Footloose,8,1984,Feb_w4,1984_Feb_w4
Feb 17-19,,-,-,-,-,7,1984,Feb_w3,1984_Feb_w3
Feb 17-20,Presidents' Day wknd,"$33,292,525",-,14,Footloose,7,1984,Feb_w3,1984_Feb_w3
Feb 10-12,,"$16,773,554",-12.5%,18,Unfaithfully Yours,6,1984,Feb_w2,1984_Feb_w2
Feb 3-5,,"$19,180,138",-11.6%,16,Terms of Endearment,5,1984,Feb_w1,1984_Feb_w1
Jan 27-29,,"$21,693,487",+4.9%,17,Silkwood,4,1984,Jan_w4,1984_Jan_w4
Jan 20-22,,"$20,685,611",-26.8%,18,Terms of Endearment,3,1984,Jan_w3,1984_Jan_w3
Jan 13-15,,"$28,273,334",-6.3%,16,Terms of Endearment,2,1984,Jan_w2,1984_Jan_w2
Jan 13-16,MLK wknd,-,-,-,-,2,1984,Jan_w2,1984_Jan_w2
Jan 6-8,,"$30,169,412",-,15,Terms of Endearment,1,1984,Jan_w1,1984_Jan_w1
Dec 28-30,,"$10,965,010",+38.5%,1,Kindergarten Cop,52,1990,Dec_w4,1990_Dec_w4
"Dec 28-Jan 1, 1991",New Year's long wknd,"$115,870,101",-,24,Home Alone,52,1990,Dec_w4,1990_Dec_w4
Dec 21-25,Christmas long wknd,"$66,801,669",-,24,Home Alone,51,1990,Dec_w3,1990_Dec_w3
Dec 21-23,,"$7,918,560",-83.4%,1,Kindergarten Cop,51,1990,Dec_w3,1990_Dec_w3
Dec 14-16,,"$47,620,466",+7.6%,14,Home Alone,50,1990,Dec_w2,1990_Dec_w2
Dec 7-9,,"$44,268,120",-16.5%,14,Home Alone,49,1990,Dec_w1,1990_Dec_w1
Nov 30-Dec 2,Post-Thanksgiving,"$53,003,273",-29.2%,14,Home Alone,48,1990,Nov_w4,1990_Nov_w4
Nov 23-25,Thanksgiving 3-Day,"$74,898,353",+45.2%,15,Home Alone,47,1990,Nov_w3,1990_Nov_w3
Nov 22-25,Thanksgiving 4-Day,-,-,-,-,47,1990,Nov_w3,1990_Nov_w3
Nov 21-25,Thanksgiving 5-Day,-,-,-,-,47,1990,Nov_w3,1990_Nov_w3
Nov 16-18,,"$51,581,133",+44.2%,14,Home Alone,46,1990,Nov_w2,1990_Nov_w2
Nov 9-11,,"$35,781,976",+15%,18,Child's Play 2,45,1990,Nov_w1,1990_Nov_w1
Nov 2-4,,"$31,107,431",+0.9%,19,Jacob's Ladder,44,1990,Oct_w5,1990_Oct_w5
Oct 26-28,,"$30,830,042",-7%,18,Graveyard Shift,43,1990,Oct_w4,1990_Oct_w4
Oct 19-21,,"$33,132,903",-8.7%,16,Marked for Death,42,1990,Oct_w3,1990_Oct_w3
Oct 12-14,,"$36,278,102","+16,034.6%",20,Marked for Death,41,1990,Oct_w2,1990_Oct_w2
Oct 5-8,Indig. Peoples' Day wknd,"$42,512,770",-,17,Marked for Death,40,1990,Oct_w1,1990_Oct_w1
Oct 5-7,,"$224,847",-99.3%,1,Corporate Affairs,40,1990,Oct_w1,1990_Oct_w1
Sep 28-30,,"$32,770,487",-4.2%,14,Pacific Heights,39,1990,Sep_w4,1990_Sep_w4
Sep 21-23,,"$34,219,317",+5.2%,17,Goodfellas,38,1990,Sep_w3,1990_Sep_w3
Sep 14-16,,"$32,513,703",+22.2%,17,Postcards from the Edge,37,1990,Sep_w2,1990_Sep_w2
Sep 7-9,,"$26,610,869","+5,773.1%",18,Ghost,36,1990,Sep_w1,1990_Sep_w1
Aug 31-Sep 2,,"$453,096",-99%,1,Total Recall,35,1990,Aug_w5,1990_Aug_w5
Aug 31-Sep 3,Labor Day wknd,"$45,500,658",-,19,Ghost,35,1990,Aug_w5,1990_Aug_w5
Aug 24-26,,"$43,625,858",-20.3%,19,Darkman,34,1990,Aug_w4,1990_Aug_w4
Aug 17-19,,"$54,743,500",-5.7%,19,The Exorcist III,33,1990,Aug_w3,1990_Aug_w3
Aug 10-12,,"$58,038,480",-5%,19,Flatliners,32,1990,Aug_w2,1990_Aug_w2
Aug 3-5,,"$61,075,993",-3.9%,17,Ghost,31,1990,Aug_w1,1990_Aug_w1
Jul 27-29,,"$63,533,062",+5.5%,18,Presumed Innocent,30,1990,Jul_w4,1990_Jul_w4
Jul 20-22,,"$60,229,578",-10.8%,17,Ghost,29,1990,Jul_w3,1990_Jul_w3
Jul 13-15,,"$67,517,311",+4.9%,16,Die Hard 2,28,1990,Jul_w2,1990_Jul_w2
Jul 6-8,,"$64,385,483",+3.8%,13,Die Hard 2,27,1990,Jul_w1,1990_Jul_w1
Jun 29-Jul 1,,"$62,044,286",-9.7%,12,Days of Thunder,26,1990,Jun_w5,1990_Jun_w5
Jun 22-24,,"$68,700,097",+1.1%,13,Dick Tracy,25,1990,Jun_w4,1990_Jun_w4
Jun 15-17,,"$67,952,401",+18.1%,12,Dick Tracy,24,1990,Jun_w3,1990_Jun_w3
Jun 8-10,,"$57,555,168",+2%,12,Another 48 Hrs.,23,1990,Jun_w2,1990_Jun_w2
Jun 1-3,,"$56,448,155",+195.4%,13,Total Recall,22,1990,Jun_w1,1990_Jun_w1
May 25-27,,"$19,110,033",-50.9%,2,Back to the Future Part III,21,1990,May_w4,1990_May_w4
May 25-28,Memorial Day wknd,"$65,824,630",-,13,Back to the Future Part III,21,1990,May_w4,1990_May_w4
May 18-20,,"$38,933,573",+55.7%,13,Bird on a Wire,20,1990,May_w3,1990_May_w3
May 11-13,,"$25,007,717",-22.5%,19,Pretty Woman,19,1990,May_w2,1990_May_w2
May 4-6,,"$32,275,399",-12.9%,18,Pretty Woman,18,1990,May_w1,1990_May_w1
Apr 27-29,,"$37,050,096",-2%,15,Pretty Woman,17,1990,Apr_w4,1990_Apr_w4
Apr 20-22,,"$37,793,313",-20.4%,18,Teenage Mutant Ninja Turtles,16,1990,Apr_w3,1990_Apr_w3
Apr 13-16,Easter wknd,-,-,-,-,15,1990,Apr_w2,1990_Apr_w2
Apr 13-15,,"$47,501,879",-21.8%,15,Teenage Mutant Ninja Turtles,15,1990,Apr_w2,1990_Apr_w2
Apr 6-8,,"$60,731,608",-4%,17,Teenage Mutant Ninja Turtles,14,1990,Apr_w1,1990_Apr_w1
Mar 30-Apr 1,,"$63,267,046",+55.8%,16,Teenage Mutant Ninja Turtles,13,1990,Mar_w5,1990_Mar_w5
Mar 23-25,,"$40,597,246",+2.7%,18,Pretty Woman,12,1990,Mar_w4,1990_Mar_w4
Mar 16-18,,"$39,548,233",-7.7%,18,The Hunt for Red October,11,1990,Mar_w3,1990_Mar_w3
Mar 9-11,,"$42,834,849",+10.3%,19,The Hunt for Red October,10,1990,Mar_w2,1990_Mar_w2
Mar 2-4,,"$38,823,326",+35%,16,The Hunt for Red October,9,1990,Mar_w1,1990_Mar_w1
Feb 23-25,,"$28,747,612","+4,569.9%",21,Driving Miss Daisy,8,1990,Feb_w4,1990_Feb_w4
Feb 16-19,Presidents' Day wknd,"$46,417,982",-,23,Driving Miss Daisy,7,1990,Feb_w3,1990_Feb_w3
Feb 16-18,,"$615,600",-98.2%,1,Back to the Future Part II,7,1990,Feb_w3,1990_Feb_w3
Feb 9-11,,"$33,541,808",+4.2%,22,Hard to Kill,6,1990,Feb_w2,1990_Feb_w2
Feb 2-4,,"$32,182,193",+0.5%,18,Driving Miss Daisy,5,1990,Feb_w1,1990_Feb_w1
Jan 26-28,,"$32,011,711",-12.9%,15,Driving Miss Daisy,4,1990,Jan_w4,1990_Jan_w4
Jan 19-21,,"$36,762,815",-17.3%,22,Born on the Fourth of July,3,1990,Jan_w3,1990_Jan_w3
Jan 12-14,,"$44,449,328",-11.6%,18,Born on the Fourth of July,2,1990,Jan_w2,1990_Jan_w2
Jan 12-15,MLK wknd,"$3,249,365",-,1,Back to the Future Part II,2,1990,Jan_w2,1990_Jan_w2
Jan 5-7,,"$50,277,102",+656.6%,18,Born on the Fourth of July,1,1990,Jan_w1,1990_Jan_w1
Dec 27-29,,"$85,312,546",+68.2%,22,Hook,52,1991,Dec_w4,1991_Dec_w4
Dec 20-22,,"$50,724,322",+4.9%,15,Hook,51,1991,Dec_w3,1991_Dec_w3
Dec 13-15,,"$48,337,410",-4.4%,14,Hook,50,1991,Dec_w2,1991_Dec_w2
Dec 6-8,Post-Thanksgiving,"$50,587,856",-25.1%,18,Star Trek VI: The Undiscovered Country,49,1991,Dec_w1,1991_Dec_w1
Nov 29-Dec 1,Thanksgiving 3-Day,"$67,570,801",+19.8%,16,The Addams Family,48,1991,Nov_w4,1991_Nov_w4
Nov 28-Dec 1,Thanksgiving 4-Day,-,-,-,-,48,1991,Nov_w4,1991_Nov_w4
Nov 27-Dec 1,Thanksgiving 5-Day,-,-,-,-,48,1991,Nov_w4,1991_Nov_w4
Nov 22-24,,"$56,408,176",+81.2%,17,The Addams Family,47,1991,Nov_w3,1991_Nov_w3
Nov 15-17,,"$31,126,454",-1.2%,15,Cape Fear,46,1991,Nov_w2,1991_Nov_w2
Nov 8-10,,"$31,506,127",-12%,15,Curly Sue,45,1991,Nov_w1,1991_Nov_w1
Nov 1-3,,"$35,795,994",+21.5%,15,The People Under the Stairs,44,1991,Oct_w5,1991_Oct_w5
Oct 25-27,,"$29,468,087",-2.9%,19,House Party 2,43,1991,Oct_w4,1991_Oct_w4
Oct 18-20,,"$30,333,285","+4,335.8%",16,Other People's Money,42,1991,Oct_w3,1991_Oct_w3
Oct 11-13,,"$683,822",-98%,4,Terminator 2: Judgment Day,41,1991,Oct_w2,1991_Oct_w2
Oct 11-14,Indig. Peoples' Day wknd,"$36,825,960",-,20,The Fisher King,41,1991,Oct_w2,1991_Oct_w2
Oct 4-6,,"$34,315,228",+16.3%,22,The Fisher King,40,1991,Oct_w1,1991_Oct_w1
Sep 27-29,,"$29,505,944",+14.2%,17,The Fisher King,39,1991,Sep_w4,1991_Sep_w4
Sep 20-22,,"$25,831,535",-21.1%,19,Freddy's Dead: The Final Nightmare,38,1991,Sep_w3,1991_Sep_w3
Sep 13-15,,"$32,732,248",+33.1%,15,Freddy's Dead: The Final Nightmare,37,1991,Sep_w2,1991_Sep_w2
Sep 6-8,,"$24,587,347",+451.2%,15,Dead Again,36,1991,Sep_w1,1991_Sep_w1
Aug 30-Sep 1,,"$4,460,683",-85.5%,1,Terminator 2: Judgment Day,35,1991,Aug_w5,1991_Aug_w5
Aug 30-Sep 2,Labor Day wknd,"$41,478,692",-,21,Dead Again,35,1991,Aug_w5,1991_Aug_w5
Aug 23-25,,"$30,702,128",-18.7%,21,Hot Shots!,34,1991,Aug_w4,1991_Aug_w4
Aug 16-18,,"$37,743,128",-18.9%,20,Hot Shots!,33,1991,Aug_w3,1991_Aug_w3
Aug 9-11,,"$46,528,830",-5%,22,Hot Shots!,32,1991,Aug_w2,1991_Aug_w2
Aug 2-4,,"$48,969,676",-7.9%,19,Hot Shots!,31,1991,Aug_w1,1991_Aug_w1
Jul 26-28,,"$53,146,045",-24.4%,18,Terminator 2: Judgment Day,30,1991,Jul_w4,1991_Jul_w4
Jul 19-21,,"$70,280,198",-14.6%,16,Terminator 2: Judgment Day,29,1991,Jul_w3,1991_Jul_w3
Jul 12-14,,"$82,282,134",-1.2%,15,Terminator 2: Judgment Day,28,1991,Jul_w2,1991_Jul_w2
Jul 5-7,,"$83,267,336",+24.2%,15,Terminator 2: Judgment Day,27,1991,Jul_w1,1991_Jul_w1
Jun 28-30,,"$67,044,357",-1.4%,16,The Naked Gun 2½: The Smell of Fear,26,1991,Jun_w5,1991_Jun_w5
Jun 21-23,,"$68,022,567",+9.8%,14,Robin Hood: Prince of Thieves,25,1991,Jun_w4,1991_Jun_w4
Jun 14-16,,"$61,945,589",+34.5%,17,Robin Hood: Prince of Thieves,24,1991,Jun_w3,1991_Jun_w3
Jun 7-9,,"$46,063,063",+15.4%,14,City Slickers,23,1991,Jun_w2,1991_Jun_w2
May 31-Jun 2,,"$39,905,894",+209.5%,16,Backdraft,22,1991,Jun_w1,1991_Jun_w1
May 24-27,Memorial Day wknd,"$59,828,164",-,19,Backdraft,21,1991,May_w4,1991_May_w4
May 24-26,,"$12,895,550",-58.5%,2,Backdraft,21,1991,May_w4,1991_May_w4
May 17-19,,"$31,065,177",+27.5%,17,What About Bob?,20,1991,May_w3,1991_May_w3
May 10-12,,"$24,365,631",-9.4%,15,F/X2,19,1991,May_w2,1991_May_w2
May 3-5,,"$26,897,017",-12.5%,17,Oscar,18,1991,May_w1,1991_May_w1
Apr 26-28,,"$30,725,831",-8.4%,17,Oscar,17,1991,Apr_w4,1991_Apr_w4
Apr 19-21,,"$33,560,677",-10.7%,13,Out for Justice,16,1991,Apr_w3,1991_Apr_w3
Apr 12-14,,"$37,561,756",+6.8%,16,Out for Justice,15,1991,Apr_w2,1991_Apr_w2
Apr 5-7,,"$35,178,652",-20.7%,13,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,14,1991,Apr_w1,1991_Apr_w1
Mar 29-31,,"$44,378,742",-17%,17,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,13,1991,Mar_w5,1991_Mar_w5
Mar 29-Apr 1,Easter wknd,"$861,560",-,1,Kindergarten Cop,13,1991,Mar_w5,1991_Mar_w5
Mar 22-24,,"$53,489,304",+29%,21,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,12,1991,Mar_w4,1991_Mar_w4
Mar 15-17,,"$41,453,637",-14.7%,18,The Silence of the Lambs,11,1991,Mar_w3,1991_Mar_w3
Mar 8-10,,"$48,607,907",-4.5%,18,The Silence of the Lambs,10,1991,Mar_w2,1991_Mar_w2
Mar 1-3,,"$50,873,046",+5.1%,17,The Silence of the Lambs,9,1991,Mar_w1,1991_Mar_w1
Feb 22-24,,"$48,394,172","+3,272.4%",14,The Silence of the Lambs,8,1991,Feb_w4,1991_Feb_w4
Feb 15-17,,"$1,435,000",-97%,1,Kindergarten Cop,7,1991,Feb_w3,1991_Feb_w3
Feb 15-18,Presidents' Day wknd,"$67,739,052",-,19,The Silence of the Lambs,7,1991,Feb_w3,1991_Feb_w3
Feb 8-10,,"$48,158,676",+15.5%,20,Sleeping with the Enemy,6,1991,Feb_w2,1991_Feb_w2
Feb 1-3,,"$41,679,006",+5.1%,24,Home Alone,5,1991,Feb_w1,1991_Feb_w1
Jan 25-27,,"$39,660,357",+564.4%,20,Home Alone,4,1991,Jan_w4,1991_Jan_w4
Jan 18-21,MLK wknd,"$58,218,715",-,25,Home Alone,3,1991,Jan_w3,1991_Jan_w3
Jan 18-20,,"$5,969,190",-88.9%,1,Kindergarten Cop,3,1991,Jan_w3,1991_Jan_w3
Jan 11-13,,"$53,804,654",-12.1%,19,Home Alone,2,1991,Jan_w2,1991_Jan_w2
Jan 4-6,,"$61,207,542",+458.2%,20,Home Alone,1,1991,Jan_w1,1991_Jan_w1
Dec 27-29,,"$52,846,764",+54.3%,16,Rocky IV,52,1985,Dec_w4,1985_Dec_w4
Dec 20-22,,"$34,245,727",+9.3%,16,Rocky IV,51,1985,Dec_w3,1985_Dec_w3
Dec 13-15,,"$31,339,482",-11.9%,15,Rocky IV,50,1985,Dec_w2,1985_Dec_w2
Dec 6-8,Post-Thanksgiving,"$35,555,195",-15.1%,15,Rocky IV,49,1985,Dec_w1,1985_Dec_w1
Nov 29-Dec 1,Thanksgiving 3-Day,"$41,900,136",+108%,14,Rocky IV,48,1985,Nov_w4,1985_Nov_w4
Nov 28-Dec 1,Thanksgiving 4-Day,"$2,527,914",-,1,Back to the Future,48,1985,Nov_w4,1985_Nov_w4
Nov 27-Dec 1,Thanksgiving 5-Day,"$2,808,714",-,1,Back to the Future,48,1985,Nov_w4,1985_Nov_w4
Nov 22-24,,"$20,148,880",-1.4%,15,King Solomon's Mines,47,1985,Nov_w3,1985_Nov_w3
Nov 15-17,,"$20,444,128",-10%,15,Once Bitten,46,1985,Nov_w2,1985_Nov_w2
Nov 8-10,,"$22,720,726",-9%,16,Death Wish 3,45,1985,Nov_w1,1985_Nov_w1
Nov 1-3,,"$24,961,347",+27.8%,15,Death Wish 3,44,1985,Oct_w5,1985_Oct_w5
Oct 25-27,,"$19,524,030",-16.6%,13,Jagged Edge,43,1985,Oct_w4,1985_Oct_w4
Oct 18-20,,"$23,417,097",+682.9%,16,Commando,42,1985,Oct_w3,1985_Oct_w3
Oct 11-13,,"$2,991,032",-88.8%,2,Back to the Future,41,1985,Oct_w2,1985_Oct_w2
Oct 11-14,Indig. Peoples' Day wknd,"$33,316,489",-,13,Commando,41,1985,Oct_w2,1985_Oct_w2
Oct 4-6,,"$26,613,895",+20.9%,14,Commando,40,1985,Oct_w1,1985_Oct_w1
Sep 27-29,,"$22,010,983",+48.2%,14,Invasion U.S.A.,39,1985,Sep_w4,1985_Sep_w4
Sep 20-22,,"$14,851,692",-3.9%,13,Back to the Future,38,1985,Sep_w3,1985_Sep_w3
Sep 13-15,,"$15,460,965",-26.1%,14,Back to the Future,37,1985,Sep_w2,1985_Sep_w2
Sep 6-8,,"$20,928,090",+192.7%,12,Back to the Future,36,1985,Sep_w1,1985_Sep_w1
Aug 30-Sep 1,,"$7,149,345",-79.1%,1,Back to the Future,35,1985,Aug_w5,1985_Aug_w5
Aug 30-Sep 2,Labor Day wknd,"$36,335,209",-,17,Back to the Future,35,1985,Aug_w5,1985_Aug_w5
Aug 23-25,,"$34,155,177",-10.6%,18,Back to the Future,34,1985,Aug_w4,1985_Aug_w4
Aug 16-18,,"$38,192,041",<0.1%,19,Back to the Future,33,1985,Aug_w3,1985_Aug_w3
Aug 9-11,,"$38,210,293",-9.9%,15,Back to the Future,32,1985,Aug_w2,1985_Aug_w2
Aug 2-4,,"$42,410,790",-10.2%,13,Back to the Future,31,1985,Aug_w1,1985_Aug_w1
Jul 26-28,,"$47,236,810",+3.3%,16,National Lampoon's European Vacation,30,1985,Jul_w4,1985_Jul_w4
Jul 19-21,,"$45,720,730",-1.1%,16,Back to the Future,29,1985,Jul_w3,1985_Jul_w3
Jul 12-14,,"$46,211,513",-7.5%,13,Back to the Future,28,1985,Jul_w2,1985_Jul_w2
Jul 5-7,,"$49,941,548",+9.1%,14,Back to the Future,27,1985,Jul_w1,1985_Jul_w1
Jun 28-30,,"$45,784,656",+9.6%,12,Pale Rider,26,1985,Jun_w5,1985_Jun_w5
Jun 21-23,,"$41,759,606",<0.1%,13,Cocoon,25,1985,Jun_w4,1985_Jun_w4
Jun 14-16,,"$41,759,611",+1%,12,Rambo: First Blood Part II,24,1985,Jun_w3,1985_Jun_w3
Jun 7-9,,"$41,360,456",+4.4%,12,Rambo: First Blood Part II,23,1985,Jun_w2,1985_Jun_w2
May 31-Jun 2,,"$39,602,104",+28.3%,12,Rambo: First Blood Part II,22,1985,Jun_w1,1985_Jun_w1
May 24-26,,"$30,863,331",+87.3%,2,Rambo: First Blood Part II,21,1985,May_w4,1985_May_w4
May 24-27,Memorial Day wknd,"$58,625,867",-,12,Rambo: First Blood Part II,21,1985,May_w4,1985_May_w4
May 17-19,,"$16,479,296",-8.2%,12,Code of Silence,20,1985,May_w3,1985_May_w3
May 10-12,,"$17,952,994",-17.4%,12,Code of Silence,19,1985,May_w2,1985_May_w2
May 3-5,,"$21,725,357",-3.3%,14,Code of Silence,18,1985,May_w1,1985_May_w1
Apr 26-28,,"$22,462,614",-12.1%,13,Stick,17,1985,Apr_w4,1985_Apr_w4
Apr 19-21,,"$25,556,572",-13.2%,15,Police Academy 2: Their First Assignment,16,1985,Apr_w3,1985_Apr_w3
Apr 12-14,,"$29,436,248",-14.2%,16,Police Academy 2: Their First Assignment,15,1985,Apr_w2,1985_Apr_w2
Apr 5-7,,"$34,293,857",-17%,18,Police Academy 2: Their First Assignment,14,1985,Apr_w1,1985_Apr_w1
Apr 5-8,Easter wknd,-,-,-,-,14,1985,Apr_w1,1985_Apr_w1
Mar 29-31,,"$41,333,145",-3.9%,17,Police Academy 2: Their First Assignment,13,1985,Mar_w5,1985_Mar_w5
Mar 22-24,,"$42,988,656",+84%,14,Friday the 13th: A New Beginning,12,1985,Mar_w4,1985_Mar_w4
Mar 15-17,,"$23,368,270",-7.5%,16,Beverly Hills Cop,11,1985,Mar_w3,1985_Mar_w3
Mar 8-10,,"$25,268,720",-8.8%,13,Witness,10,1985,Mar_w2,1985_Mar_w2
Mar 1-3,,"$27,704,420",+7.3%,14,Beverly Hills Cop,9,1985,Mar_w1,1985_Mar_w1
Feb 22-24,,"$25,830,927",-,12,Beverly Hills Cop,8,1985,Feb_w4,1985_Feb_w4
Feb 15-17,,-,-,-,-,7,1985,Feb_w3,1985_Feb_w3
Feb 15-18,Presidents' Day wknd,"$35,222,619",-,14,Beverly Hills Cop,7,1985,Feb_w3,1985_Feb_w3
Feb 8-10,,"$27,809,171",+24.2%,14,Beverly Hills Cop,6,1985,Feb_w2,1985_Feb_w2
Feb 1-3,,"$22,390,237",-3.2%,13,Beverly Hills Cop,5,1985,Feb_w1,1985_Feb_w1
Jan 25-27,,"$23,118,481",+15%,22,Beverly Hills Cop,4,1985,Jan_w4,1985_Jan_w4
Jan 18-20,,"$20,097,631",-31.6%,32,Beverly Hills Cop,3,1985,Jan_w3,1985_Jan_w3
Jan 18-21,MLK wknd,-,-,-,-,3,1985,Jan_w3,1985_Jan_w3
Jan 11-13,,"$29,369,163",-22.1%,30,Beverly Hills Cop,2,1985,Jan_w2,1985_Jan_w2
Jan 4-6,,"$37,687,571","+8,242.1%",29,Beverly Hills Cop,1,1985,Jan_w1,1985_Jan_w1
"Dec 31-Jan 2, 1994",,"$71,733,564",+48.3%,23,Mrs. Doubtfire,53,1993,Dec_w5,1993_Dec_w5
Dec 24-26,,"$48,362,991",-4.7%,22,The Pelican Brief,52,1993,Dec_w4,1993_Dec_w4
Dec 17-19,,"$50,725,691",+11.1%,18,The Pelican Brief,51,1993,Dec_w3,1993_Dec_w3
Dec 10-12,,"$45,674,361",+16.1%,16,Wayne's World 2,50,1993,Dec_w2,1993_Dec_w2
